kingdom	phylum	ERR2219330	ERR2219331	ERR2219332	ERR2219333	ERR2219334	ERR2219335	ERR2219336	ERR2219337	ERR2219338	ERR2219339	ERR2219340	ERR2219341	ERR2219342	ERR2219343	ERR2219344	ERR2219345	ERR2219346	ERR2219347	ERR2219348	ERR2219349	ERR2219350	ERR2219351	ERR2219352
Archaea	Crenarchaeota	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	Euryarchaeota	22	21	25	5	10	8	4	2	2	0	0	0	0	1	0	0	0	1	1	0	0	1	0
Archaea	Thaumarchaeota	2	1	0	0	2	0	0	0	0	0	0	0	0	3	2	1	0	0	0	1	1	0	0
Archaea	Unassigned	2	0	5	1	1	3	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0
Bacteria	Acidobacteria	5	14	4	17	3	0	7	1	1	2	3	3	4	3	5	6	5	11	6	4	3	0	1
Bacteria	Actinobacteria	1143	919	362	368	326	360	246	491	525	418	506	457	485	373	1106	1095	708	459	804	881	396	319	309
Bacteria	Armatimonadetes	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	1	0	0
Bacteria	Bacteroidetes	70094	65455	82979	115145	53790	65649	101814	89458	70840	142977	120624	77094	81732	88542	108866	99619	161621	147596	125251	117701	107209	64280	146839
Bacteria	Balneolaeota	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	1	0	1	0
Bacteria	Caldiserica	1	6	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Calditrichaeota	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Adlerbacteria	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria	Candidatus_Azambacteria	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Buchananbacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Cloacimonetes	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Collierbacteria	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Colwellbacteria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Curtissbacteria	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Daviesbacteria	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Falkowbacteria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Giovannonibacteria	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Gottesmanbacteria	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Kaiserbacteria	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Komeilibacteria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Lloydbacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Magasanikbacteria	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Melainabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Bacteria	Candidatus_Microgenomates	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Moranbacteria	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Nomurabacteria	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Omnitrophica	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Pacebacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Candidatus_Parcubacteria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Peregrinibacteria	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Portnoybacteria	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Ryanbacteria	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Saccharibacteria	1358	1193	1074	571	124	109	1619	295	69	47	261	1254	226	125	172	334	28	142	411	138	68	90	590
Bacteria	Candidatus_Terrybacteria	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Veblenbacteria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Vogelbacteria	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Woykebacteria	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Yanofskybacteria	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus_Zambryskibacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Chlamydiae	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0
Bacteria	Chloroflexi	7	10	1	6	0	3	5	1	9	6	8	7	7	9	2	2	3	4	1	1	0	3	3
Bacteria	Cyanobacteria	55	48	337	661	49	95	939	167	168	210	2347	266	125	185	299	267	248	321	943	475	300	192	3040
Bacteria	Deferribacteres	6	2	5	3	3	2	3	96	217	3	2	2	9	193	331	22	3	4	9	65	9	97	19
Bacteria	Deinococcus-Thermus	0	2	0	1	1	1	3	0	0	0	1	1	9	0	0	2	0	0	0	1	0	4	0
Bacteria	Elusimicrobia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	Fibrobacteres	4	3	9	5	2	2	5	2	1	7	10	6	1	3	4	9	0	1	2	5	2	2	6
Bacteria	Firmicutes	335276	295917	262787	212665	247100	217451	231473	215755	212730	137604	194713	286575	200282	169708	164935	161997	76444	159267	146728	123139	159809	270200	152860
Bacteria	Fusobacteria	98	93	59	48	52	49	61	48	55	124	124	124	77	35	38	42	34	48	50	35	44	63	67
Bacteria	Gemmatimonadetes	0	2	2	2	1	1	3	1	2	2	2	1	3	2	2	0	0	3	2	0	5	0	1
Bacteria	Ignavibacteriae	2	2	2	1	1	1	2	0	1	0	0	0	0	2	1	0	2	1	0	1	1	0	2
Bacteria	Kiritimatiellaeota	407	4	0	33	3	9	254	90	5	7	5	1	34	40	117	1	0	1	3	1	3	6	4
Bacteria	Lentisphaerae	1	1	0	3	2	17	35	1	63	42	15	7	1	1	4	6	64	3	0	9	2	14	2
Bacteria	Nitrospirae	3	1	12	5	9	3	3	2	1	1	1	0	0	3	0	0	0	2	1	2	0	0	0
Bacteria	Planctomycetes	1	4	1	2	0	1	1	1	0	0	1	2	1	1	1	2	0	3	0	2	1	1	1
Bacteria	Proteobacteria	1446	915	817	1277	609	3852	2991	1461	1925	4792	6399	2100	1140	2986	24941	3764	23218	5413	8848	6228	5041	2234	4577
Bacteria	Spirochaetes	22	40	25	19	15	9	11	11	3	22	5	20	1	1	1	5	5	7	5	6	3	9	6
Bacteria	Synergistetes	12	9	14	15	3	1	2	0	3	3	3	0	2	1	0	1	0	2	2	2	3	0	3
Bacteria	Tenericutes	14481	5216	6977	2248	3452	2469	3936	2161	1813	2364	4929	2175	2438	2263	2105	5687	114	270	1191	1297	238	2082	745
Bacteria	Thermodesulfobacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Thermotogae	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	1205	1133	923	1991	846	1045	2348	3418	2595	5360	5416	3352	1866	6528	9784	7140	45155	8797	8513	6317	4863	3317	12330
Bacteria	Verrucomicrobia	25870	11186	185	4512	198	4297	4761	4389	3735	8921	8039	3544	1468	1009	10047	2412	8953	12728	35292	21877	18084	4795	16923
Bacteria	candidate_division_NC10	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	candidate_division_WWE3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Chloroplast	Unassigned	1	1	1	1	2	1	1	0	3	3	2	0	0	0	1	2	3	1	1	1	2	6	3
Eukaryota	Unassigned	2	0	0	0	0	0	5	1	0	12	22	2	0	35	0	0	0	0	0	0	0	2	0
Mitochondria	Unassigned	1	0	3	2	0	2	1	2	0	0	2	0	0	0	0	1	5	7	0	1	0	2	1
Unassigned	Unassigned	1	2	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	6	1
